short_title,word,n,tf,idf,tf_idf
A Midsummer Night's Dream,disfigure,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,groves,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,hairy,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,hawthorn,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,hog,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,jollity,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,loathe,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,moth,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,puppet,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,release,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,sorrow's,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,tongue's,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,weaver,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,adder,3,4.891570194032284e-4,1.413693335308005,6.915180182494725e-4
A Midsummer Night's Dream,hue,3,4.891570194032284e-4,1.413693335308005,6.915180182494725e-4
A Midsummer Night's Dream,sweep,3,4.891570194032284e-4,1.413693335308005,6.915180182494725e-4
A Midsummer Night's Dream,imagination,5,8.152616990053808e-4,0.8383291904044432,6.834576800949317e-4
A Midsummer Night's Dream,dove,4,6.522093592043046e-4,1.0459685551826878,6.821904811235532e-4
A Midsummer Night's Dream,trusty,4,6.522093592043046e-4,1.0459685551826878,6.821904811235532e-4
A Midsummer Night's Dream,flower,8,0.0013044187184086092,0.5198754592859086,6.78135280333812e-4
A Midsummer Night's Dream,childhood,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,eastern,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,gentles,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,haunted,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,knavish,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,maidens,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,pursues,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,stretch'd,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,wak'd,2,3.261046796021523e-4,2.0014800002101243,6.526919941986383e-4
A Midsummer Night's Dream,discretion,6,9.783140388064568e-4,0.666478933477784,6.520256971900707e-4
A Midsummer Night's Dream,shine,6,9.783140388064568e-4,0.666478933477784,6.520256971900707e-4
A Midsummer Night's Dream,tomb,6,9.783140388064568e-4,0.666478933477784,6.520256971900707e-4
A Midsummer Night's Dream,aye,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,bag,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,coats,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,fates,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,fray,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,madly,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,vein,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,watery,3,4.891570194032284e-4,1.308332819650179,6.399801824475031e-4
A Midsummer Night's Dream,look'd,5,8.152616990053808e-4,0.7777045685880083,6.340327479113063e-4
A Midsummer Night's Dream,follow'd,4,6.522093592043046e-4,0.9718605830289658,6.338565680932437e-4
A Midsummer Night's Dream,serpent,4,6.522093592043046e-4,0.9718605830289658,6.338565680932437e-4
A Midsummer Night's Dream,curst,3,4.891570194032284e-4,1.213022639845854,5.933585389756338e-4
A Midsummer Night's Dream,lime,3,4.891570194032284e-4,1.213022639845854,5.933585389756338e-4
A Midsummer Night's Dream,tire,3,4.891570194032284e-4,1.213022639845854,5.933585389756338e-4
A Midsummer Night's Dream,beguil'd,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,briers,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,casement,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,concord,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,musical,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,players,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,roars,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,simplicity,2,3.261046796021523e-4,1.8191584434161694,5.9323608133578e-4
A Midsummer Night's Dream,bosoms,4,6.522093592043046e-4,0.9028677115420144,5.888587715910742e-4
A Midsummer Night's Dream,hated,4,6.522093592043046e-4,0.9028677115420144,5.888587715910742e-4
A Midsummer Night's Dream,temple,4,6.522093592043046e-4,0.9028677115420144,5.888587715910742e-4
A Midsummer Night's Dream,abridgment,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,aegles,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,almanack,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,amazèd,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,answerèd,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,antiopa,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,attain'd,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,barky,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,barm,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
A Midsummer Night's Dream,bashfulness,1,1.6305233980107615e-4,3.6109179126442243,5.887686144862587e-4
