short_title,word,n,total,tf,idf,tf_idf
"Henry IV, Part 1",proverbs,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pudding,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",quantity,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",question'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",quips,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",railing,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",raising,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rareness,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",receipt,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",recreation,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",reeds,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",reform,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",reign,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",remember'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",remnant,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rendezvous,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rescue,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",restrain,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",retires,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rewards,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
