short_title,bigram,n,tf,idf,tf_idf
Richard III,worship brakenbury,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worthy husband's,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worthy vengeance,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wouldst swear,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrangling days,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrangling pirates,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched age,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched anne,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched bloody,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched clarence,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched head,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretched margaret,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wretches castaways,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrinkled front,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrinkled witch,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrong incensed,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wrong surmise,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wronged heirs,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,yea richard,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,yon fellow,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,yonder dog,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,york's dread,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,york's heir,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,york's wife,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,zealous contemplation,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,gracious sovereign,2,7.51597143930853e-4,1.6650077635889111,0.0012514150797361225
Richard III,news abroad,2,7.51597143930853e-4,1.6650077635889111,0.0012514150797361225
Richard III,tongue tied,2,7.51597143930853e-4,1.6650077635889111,0.0012514150797361225
Richard III,gentle lady,2,7.51597143930853e-4,1.5314763709643886,0.001151053266414422
Richard III,god defend,2,7.51597143930853e-4,1.5314763709643886,0.001151053266414422
Richard III,ah gentle,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,angels fight,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,anointed body,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,barbed steeds,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
