gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1510,Love's Labour's Lost,BOYET,1035,1,2,Comedy,1595
1510,Love's Labour's Lost,COSTARD,950,2,3,Comedy,1595
1510,Love's Labour's Lost,DULL,210,2,2,Comedy,1595
1510,Love's Labour's Lost,DUMAINE,68,1,2,Comedy,1595
1510,Love's Labour's Lost,FORESTER,35,1,1,Comedy,1595
1510,Love's Labour's Lost,HOLOFERNES,823,1,1,Comedy,1595
1510,Love's Labour's Lost,JAQUENETTA,77,1,2,Comedy,1595
1510,Love's Labour's Lost,KATHARINE,100,1,1,Comedy,1595
1510,Love's Labour's Lost,KING,1185,2,3,Comedy,1595
1510,Love's Labour's Lost,LONGAVILLE,166,1,2,Comedy,1595
1510,Love's Labour's Lost,LORD,7,1,1,Comedy,1595
1510,Love's Labour's Lost,MARIA,171,1,2,Comedy,1595
1510,Love's Labour's Lost,MOTH,883,2,2,Comedy,1595
1510,Love's Labour's Lost,NATHANIEL,404,1,1,Comedy,1595
1510,Love's Labour's Lost,PRINCESS,885,1,2,Comedy,1595
1510,Love's Labour's Lost,ROSALINE,289,1,2,Comedy,1595
1511,King John,ARTHUR,982,2,3,History,1597
1511,King John,AUSTRIA,242,1,2,History,1597
1511,King John,BASTARD,4111,5,5,History,1597
1511,King John,BIGOT,60,1,1,History,1597
1511,King John,BLANCHE,332,1,2,History,1597
1511,King John,CHATILLION,296,1,2,History,1597
1511,King John,CITIZEN,38,1,1,History,1597
1511,King John,CONSTANCE,2122,2,2,History,1597
1511,King John,ENGLISH HERALD,101,1,1,History,1597
1511,King John,ESSEX,25,1,1,History,1597
1511,King John,FIRST CITIZEN,491,1,1,History,1597
1511,King John,FIRST EXECUTIONER,19,1,1,History,1597
1511,King John,FRENCH HERALD,87,1,1,History,1597
1511,King John,GURNEY,4,1,1,History,1597
1511,King John,HUBERT,1027,4,3,History,1597
1511,King John,KING JOHN,3318,4,5,History,1597
1511,King John,KING PHILIP,1539,2,2,History,1597
1511,King John,LADY FAULCONBRIDGE,122,1,1,History,1597
1511,King John,LOUIS,1164,4,3,History,1597
1511,King John,MELUN,310,1,1,History,1597
1511,King John,MESSENGER,210,3,2,History,1597
1511,King John,PANDULPH,1266,3,2,History,1597
1511,King John,PEMBROKE,611,4,2,History,1597
1511,King John,PETER OF POMFRET,8,1,1,History,1597
1511,King John,PRINCE HENRY,223,1,1,History,1597
1511,King John,QUEEN ELEANOR,424,2,3,History,1597
1511,King John,ROBERT,180,1,1,History,1597
1511,King John,SALISBURY,1223,5,3,History,1597
1512,Richard II,ABBOT,72,1,1,History,1595
1512,Richard II,ANOTHER LORD,43,1,1,History,1595
1512,Richard II,AUMERLE,706,4,4,History,1595
1512,Richard II,BAGOT,170,2,2,History,1595
1512,Richard II,BERKELEY,70,1,1,History,1595
1512,Richard II,BOLINGBROKE,2558,2,4,History,1595
1512,Richard II,BUSHY,273,3,3,History,1595
1512,Richard II,CAPTAIN,123,1,1,History,1595
1512,Richard II,CARLISLE,486,2,2,History,1595
1512,Richard II,DUCHESS,1199,2,2,History,1595
1512,Richard II,EXTON,178,3,1,History,1595
1512,Richard II,FIRST HERALD,48,1,1,History,1595
1512,Richard II,FITZWATER,218,2,2,History,1595
1512,Richard II,GARDENER,413,1,1,History,1595
1512,Richard II,GAUNT,1524,3,2,History,1595
1512,Richard II,GREEN,242,3,3,History,1595
1512,Richard II,GROOM,90,1,1,History,1595
1512,Richard II,HARRY PERCY,43,1,1,History,1595
1512,Richard II,KEEPER,29,1,1,History,1595
1512,Richard II,KING HENRY,665,2,1,History,1595
1512,Richard II,KING RICHARD,5187,4,5,History,1595
1512,Richard II,LADY,27,1,1,History,1595
1512,Richard II,MARSHAL,256,1,1,History,1595
1512,Richard II,MOWBRAY,985,2,1,History,1595
1512,Richard II,NORTHUMBERLAND,1107,3,4,History,1595
1512,Richard II,PERCY,309,2,3,History,1595
1512,Richard II,QUEEN,916,3,3,History,1595
1512,Richard II,RICHARD,800,1,1,History,1595
1512,Richard II,ROSS,177,2,1,History,1595
1512,Richard II,SALISBURY,156,2,2,History,1595
1512,Richard II,SCROOP,287,1,1,History,1595
1512,Richard II,SECOND HERALD,48,1,1,History,1595
1512,Richard II,SERVANT,78,1,2,History,1595
1512,Richard II,SERVINGMAN,43,1,1,History,1595
1512,Richard II,SURREY,76,1,1,History,1595
1512,Richard II,WILLOUGHBY,102,2,1,History,1595
1512,Richard II,YORK,2245,3,4,History,1595
1513,Romeo and Juliet,ABRAM,24,1,1,Tragedy,1595
